what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1488235974122
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488235986704
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1488235992718
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1488235993468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1488235994220
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488235994612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488235995958
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1488235997195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488235997200
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1488235997908
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1488235998411
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1488236001532
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1488236008526
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1488236009458
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1488236010512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1488236010802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488236095468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488236152747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1488236204964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1488236216742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488236219591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488236333694
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1488236336229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488236337255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488236338179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1488236341398
