what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916040434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916041447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916060211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916060403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916060937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916082126
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916082166
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1490916104594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916104626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916105743
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490916122035
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916124107
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916124159
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490916124169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1490916125466
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916130903
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916145608
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916145644
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916147456
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916190402
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916190434
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916193926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490916198820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916207232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916218735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916219686
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1490916425551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916436553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916437586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916437750
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490916443415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916445351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916446413
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490916451534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916475066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916543019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490916548681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1490916554533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916556724
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1490916746477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916844848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916845863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916845947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916846832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916855201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916857418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916953432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490916954715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917193090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917194233
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1490917195272
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917195330
error,log,,,"Problems saving workspace",1490917196350
error,log,,,"Problems occurred while trying to save the state of the workbench.",1490917196370
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1490917196475
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1490917196476
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1490917196476
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1490917196476
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1490917196476
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1490917196476
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1490917196476
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1490917196476
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1490917196476
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1490917196477
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1490917196477
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1490917196478
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1490917196478
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1490917196478
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1490917196478
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1490917196479
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1490917196497
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1490917196497
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1490917210241
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1490917210243
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1490917210243
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1490917210244
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1490917210244
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1490917210245
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1490917210245
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1490917210246
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1490917210246
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1490917210246
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1490917210247
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1490917210248
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1490917210249
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1490917210249
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1490917210249
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1490917210249
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1490917210250
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1490917210250
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1490917210251
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1490917210251
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1490917210252
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1490917210252
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1490917210253
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1490917210253
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1490917210254
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1490917210254
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1490917210254
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1490917210255
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1490917210256
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1490917210256
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1490917210257
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1490917210258
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1490917210258
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1490917210258
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1490917210259
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1490917210259
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1490917210260
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1490917210260
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1490917210261
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1490917210261
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1490917210261
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1490917210262
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1490917210262
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1490917210263
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1490917210263
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1490917210263
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1490917210264
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1490917210264
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1490917210264
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1490917210265
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1490917210265
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1490917210266
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1490917210266
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1490917210267
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1490917210267
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1490917210267
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1490917210268
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1490917210269
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1490917210269
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1490917210270
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1490917210270
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1490917210271
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1490917210271
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1490917210271
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1490917210272
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1490917210272
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1490917210273
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1490917210273
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1490917210274
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1490917210275
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1490917210275
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1490917210276
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1490917210276
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1490917210277
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1490917210278
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1490917210279
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1490917210279
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1490917210279
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1490917210280
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1490917210281
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1490917210281
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1490917210281
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1490917210282
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1490917210283
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1490917210284
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1490917210284
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1490917210285
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1490917210285
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1490917210286
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1490917210287
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1490917210288
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1490917210288
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1490917210288
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1490917210289
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1490917210289
os,sysinfo,,,"linux",1490917210292
arch,sysinfo,,,"x86",1490917210293
ws,sysinfo,,,"gtk",1490917210293
locale,sysinfo,,,"en_US",1490917210293
processors,sysinfo,,,"8",1490917210293
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1490917210293
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1490917210293
java.specification.name,sysinfo,,,"Java Platform API Specification",1490917210293
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490917210293
java.specification.version,sysinfo,,,"1.6",1490917210293
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1490917210293
java.version,sysinfo,,,"1.6.0_23",1490917210293
java.vm.info,sysinfo,,,"mixed mode",1490917210293
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1490917210293
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490917210293
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490917210293
java.vm.specification.version,sysinfo,,,"1.0",1490917210293
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1490917210293
java.vm.version,sysinfo,,,"19.0-b09",1490917210293
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1490917211075
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490917212471
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1490917212567
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1490917212600
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1490917215387
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1490917215390
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1490917215391
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1490917215392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917215437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917221520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917223706
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1490917226179
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1490917226181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917228006
started,bundle,com.altera.sbtgui.flash.plugin,12.1.1.243,"com.altera.sbtgui.flash.plugin",1490917229108
executed,command,com.altera.sbtgui.flash.plugin,12.1.1.243,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1490917229109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917229391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917230636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917230905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917325092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917326084
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1490917327099
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490917327140
error,log,,,"Problems saving workspace",1490917328012
error,log,,,"Problems occurred while trying to save the state of the workbench.",1490917328032
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1490917328130
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1490917328131
