what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1487977040568
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487977040579
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1487977045498
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487977062145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977063419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977063586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977065921
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1487977066450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977066459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977066542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977069481
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1487977071119
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1487977071604
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1487977074679
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1487977100295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487977126259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487977128034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977129139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977130057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977132221
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1487977132748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977132754
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1487977133447
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1487977133927
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1487977137027
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1487977178630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1487977184098
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1487977185475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977186827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977187766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977190491
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1487977191021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487977191028
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1487977191703
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1487977192228
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1487977195276
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1487977208222
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1487977215421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1487977215723
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1487977238972
