what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1489522869816
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1489522869817
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1489522869817
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1489522869818
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1489522869819
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1489522869819
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1489522869820
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1489522869820
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1489522869821
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1489522869822
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1489522869822
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1489522869823
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1489522869824
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1489522869824
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1489522869824
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1489522869825
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1489522869825
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1489522869826
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1489522869827
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1489522869827
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1489522869828
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1489522869829
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1489522869829
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1489522869830
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1489522869831
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1489522869832
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1489522869833
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1489522869833
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1489522869833
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1489522869834
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1489522869835
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1489522869835
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1489522869836
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1489522869836
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1489522869837
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1489522869837
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1489522869838
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1489522869838
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1489522869839
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1489522869839
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1489522869840
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1489522869840
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1489522869840
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1489522869841
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1489522869841
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1489522869841
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1489522869841
os,sysinfo,,,"linux",1489522869844
arch,sysinfo,,,"x86",1489522869844
ws,sysinfo,,,"gtk",1489522869844
locale,sysinfo,,,"en_US",1489522869844
processors,sysinfo,,,"8",1489522869844
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489522869844
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1489522869844
java.specification.name,sysinfo,,,"Java Platform API Specification",1489522869844
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489522869844
java.specification.version,sysinfo,,,"1.6",1489522869844
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1489522869844
java.version,sysinfo,,,"1.6.0_23",1489522869844
java.vm.info,sysinfo,,,"mixed mode",1489522869844
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1489522869844
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489522869844
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1489522869844
java.vm.specification.version,sysinfo,,,"1.0",1489522869844
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1489522869844
java.vm.version,sysinfo,,,"19.0-b09",1489522869844
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1489522874670
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489522877342
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1489522877463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522878674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522879224
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1489522880817
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1489522880832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522881594
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1489522887567
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1489522889338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522889420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522889424
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489522904061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522904071
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489522904771
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1489522904891
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1489522904896
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1489522904896
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1489522904897
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1489522904902
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489522908437
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489522920817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522926723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522927504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522935390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522938970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522943888
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489522944824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522944836
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489522945517
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489522946095
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489522949305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522974212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522980836
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489522980893
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489522982016
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489522988333
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489522988376
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489522995499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522997223
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489522997759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489522997766
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489522998434
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489522998927
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489523002193
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489523017431
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1489523031638
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1489523031654
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489523032018
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489523033675
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489523035945
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1489523035991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489523038502
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489523039024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489523039031
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489523039675
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489523040494
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489523043791
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489523434032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489523435218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489523435589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489523438625
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489523439158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489523439164
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489523439788
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1489523440504
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1489523443708
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489524065815
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1489524077792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489524080820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1489524083796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489524085740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524087383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524087844
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489524093008
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489524103133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524104766
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1489524105419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524105425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524106017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524108678
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489524110674
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489524113420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524114670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524114943
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489524117549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1489524117906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1489524118154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1489524118468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1489524118773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1489524119395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1489524120138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1489524122260
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1489524123860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524124907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524125164
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1489524128955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524177275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524178231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524178285
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1489524180168
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1489524180225
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1489524181228
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1489524181228
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1489524181228
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1489524182229
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1489524182230
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1489524182230
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1489524182230
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1489524182230
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1489524182230
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1489524182230
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1489524182230
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1489524182230
